8489_7#59	SAMEA1569592	GCF_001120725.1
8489_7#49	SAMEA1569599	GCF_001120905.1
8489_7#38	SAMEA1569591	GCF_001126325.1
8489_7#57	SAMEA1569589	GCF_001130185.1
8489_7#48	SAMEA1569586	GCF_001133445.1
8489_7#40	SAMEA1569613	GCF_001138445.1
8489_7#36	SAMEA1569594	GCF_001141805.1
8489_7#39	SAMEA1569600	GCF_001143805.1
8489_7#56	SAMEA1569620	GCF_001148525.1
8489_7#55	SAMEA1569611	GCF_001150145.1
8489_7#52	SAMEA1569637	GCF_001150365.1
8489_7#51	SAMEA1569580	GCF_001151145.1
8489_7#60	SAMEA1569622	GCF_001164545.1
8489_7#43	SAMEA1569628	GCF_001167985.1
ASM118370v3	SAMN03787328	GCF_001183705.3
ASM118372v2	SAMN03787340	GCF_001183725.2
ASM118428v2	SAMN03301670	GCF_001184285.1
ASM118432v2	SAMN03301666	GCF_001184325.1
ASM118433v2	SAMN03301671	GCF_001184335.1
ASM118434v2	SAMN03301669	GCF_001184345.1
7748_4#47	SAMEA1324745	GCF_001191695.1
7907_7#56	SAMEA1463466	GCF_001191855.1
7748_4#25	SAMEA1324737	GCF_001191895.1
7738_3#66	SAMEA1324606	GCF_001192035.1
7907_7#88	SAMEA1463397	GCF_001192075.1
9266_1#4	SAMEA1710086	GCF_001192095.1
9235_1#17	SAMEA1710106	GCF_001192155.1
7907_7#85	SAMEA1463413	GCF_001192175.1
7748_4#34	SAMEA1324593	GCF_001192235.1
7907_4#58	SAMEA1466467	GCF_001192495.1
9669_1#3	SAMEA1324516	GCF_001192675.1
7738_4#34	SAMEA1324536	GCF_001192715.1
7748_4#15	SAMEA1324610	GCF_001192755.1
7907_4#49	SAMEA1466532	GCF_001192775.1
7748_4#88	SAMEA1324554	GCF_001192855.1
8987_2#6	SAMEA1708990	GCF_001192895.1
7738_3#71	SAMEA1324531	GCF_001192915.1
7738_3#2	SAMEA1324520	GCF_001192955.1
7907_4#30	SAMEA1466482	GCF_001193115.1
7748_4#22	SAMEA1324677	GCF_001193135.1
7738_3#8	SAMEA1324713	GCF_001193255.1
7907_7#22	SAMEA1463318	GCF_001193355.1
7748_4#18	SAMEA1324636	GCF_001193715.1
7738_3#90	SAMEA1324544	GCF_001193795.1
7907_7#40	SAMEA1463311	GCF_001193975.1
7738_4#20	SAMEA1324562	GCF_001194165.1
7907_4#37	SAMEA1466539	GCF_001194245.1
7738_4#36	SAMEA1324727	GCF_001194265.1
7907_4#14	SAMEA1466460	GCF_001194285.1
7738_4#58	SAMEA1324620	GCF_001194445.1
7748_4#77	SAMEA1324681	GCF_001194465.1
7738_4#48	SAMEA1324640	GCF_001194505.1
9235_1#1	SAMEA1710102	GCF_001194525.1
7907_4#56	SAMEA1466475	GCF_001194545.1
7748_4#48	SAMEA1324721	GCF_001194585.1
